Comment,Designator,Footprint,LCSC Part #
0 Ohm,R1 R2 R35 R36 R37,RESC1608X55N,
0.1uF,C2 C3 C4 C5 C8 C10 C12 C13 C14,CAPC2012X88N,
1M,R26,RESC1608X55N,
1uF,C15 C16 C17 C18,CAPC2012X100N,
2.2nF,C26 C27 C28 C29,CAPC2012X100N,
2k,R7 R9,RESC1608X55N,
4.7uF,C9 C22 C23,CAPC2114X145N,
10M,R27 R28 R29 R30,RESC1608X55N,
10k,R3 R4 R5 R6 R15 R16 R17,CAPC1608X55N,
10uF,C19,CAPC2012X135N,
15k,R18,RESC2012X60N,
22.1K,R10,RESC1005X40N,
22uF,C7 C11,CAPPC1609X90N,
40.2k,R33 R34,RESC3216X70N,
47.5K,R8,RESC1608X55N,
47nF,C21 C24,CAPC2012X140N,
47pF,C20,CAPC2012X95N,
65ohm,R13 R14,RESC2012X64N,
100k,R11 R12 R31 R32,RESC1608X50N,
576,R19,RESC2012X50N,
47346-1001,J1,473461001,
150141RV73100,LED1,SMD3528_1,
1571294-3,S1 S2,15712943,
ADS1292RIPBSR,IC4,QFP50P700X700X120-32N,
AP2112K-3.3TRG1,IC2,SOT95P282X130-5N,
BAT760-7,D4,SOD2513X120N,
BSH205G2R,Q3,SOT95P230X110-3N,
CP2102N-A02-GQFN28,IC3,QFN50P500X500X80-29N,
CPDQ5V0-HF,D1 D2 D3,SODFL1006X40N,
ESP32-WROOM-32D_M113DH2800PH3Q,ESP32,ESP32WROOM32DM113DH2800PH3Q0,
LTST-C193KRKT-5A,LED2,LEDC1608X45N,
MCP73832T-2DFI_OT,IC5,SOT95P270X145-5N,
SJ-3524-SMT-TR-GR,J3,SJ3524SMTTRGR,
SS34,D5,DIOM8059X256N,
SS8050-G,Q1 Q2,SOT95P240X115-3N,
