Designator,Mid X,Mid Y,Layer,Rotation
C2,22.61,30.99,Top,90.0
C3,41.40,40.64,Top,270.0
C4,19.56,11.68,Top,0.0
C5,34.54,11.68,Top,180.0
C7,10.16,24.77,Top,90.0
C8,69.22,21.72,Top,180.0
C9,19.18,30.99,Top,90.0
C10,61.09,27.05,Top,180.0
C11,32.64,14.99,Top,0.0
C12,73.03,25.27,Top,180.0
C13,47.63, 2.92,Top,270.0
C14,53.47, 2.92,Top,270.0
C15,69.22,25.27,Top,180.0
C16,61.09,30.35,Top,180.0
C17,69.22,28.83,Top,0.0
C18,55.25,22.23,Top,90.0
C19,73.03,21.72,Top,180.0
C20,44.83,18.92,Top,180.0
C21,60.58,10.03,Top,180.0
C22,13.72,40.64,Top,0.0
C23,16.76,49.40,Top,270.0
C24,64.39,10.03,Top,180.0
C26,50.16, 5.46,Top,0.0
C27,56.01, 5.46,Top,0.0
C28,47.63, 8.00,Top,270.0
C29,53.47, 8.00,Top,270.0
D1,12.45,14.99,Top,270.0
D2,10.67,14.99,Top,270.0
D3, 8.89,14.99,Top,270.0
D4,10.16,20.32,Top,270.0
D5,23.88,18.54,Top,0.0
ESP32,61.98,42.55,Top,270.0
IC2,16.38,15.75,Top,270.0
IC3,29.21,31.24,Top,0.0
IC4,62.36,18.67,Top,90.0
IC5,12.45,49.15,Top,180.0
J1, 3.18,17.78,Top,270.0
J3,78.36,13.08,Top,180.0
LED1,36.32,18.80,Top,270.0
LED2, 8.00,50.04,Top,0.0
Q1,29.34,44.58,Top,0.0
Q2,29.34,40.26,Top,0.0
Q3, 8.89,40.64,Top,0.0
R1,42.16,50.80,Top,180.0
R2,42.42,47.24,Top,180.0
R3,27.43,24.51,Top,180.0
R4,21.72,42.29,Top,90.0
R5,25.15,42.29,Top,270.0
R6,45.21,41.91,Top,270.0
R7,26.67,26.42,Top,180.0
R8,19.94,24.51,Top,0.0
R9,14.61,44.07,Top,90.0
R10,16.38,24.51,Top,0.0
R11,41.40,33.02,Top,180.0
R12,41.40,36.83,Top,180.0
R13,40.13,21.34,Top,90.0
R14,32.13,21.21,Top,90.0
R15,16.51,33.78,Top,0.0
R16, 2.54,34.29,Top,90.0
R17,65.79,22.86,Top,90.0
R18, 3.43,40.51,Top,90.0
R19, 7.24,45.97,Top,270.0
R26,44.83,22.73,Top,180.0
R27,47.12,38.23,Top,180.0
R28,47.12,34.42,Top,180.0
R29,47.12,30.61,Top,180.0
R30,47.12,26.80,Top,180.0
R31,44.83,15.37,Top,180.0
R32,44.32, 6.73,Top,270.0
R33,49.66,12.32,Top,270.0
R34,53.47,12.32,Top,270.0
R35,62.10, 2.92,Top,90.0
R36,58.55, 2.92,Top,90.0
R37,44.83,11.81,Top,180.0
S1,19.56, 5.08,Top,0.0
S2,34.54, 5.08,Top,0.0
