Comment,Designator,Footprint,LCSC Part #
0 Ohm,R1 R2 R18 R24 R25 R26 R27,RESC1608X55N,
0.1uF,C1 C3 C4 C5 C18 C26,CAPC2012X88N,
2.2uF,C29,CAPC1608X80N,
2k,R7 R9,RESC1608X55N,
4.7uF,C22 C23,CAPC2114X145N,
10k,R3 R4 R5 R6 R15 R16,CAPC1608X55N,
10uF,C11 C12,CAPC2114X145N@1,
15k,R19,RESC2012X60N,
22.1K,R10,RESC1005X40N,
22pF,C19 C20,CAPC2012X88N@1,
22uF,C6 C7,CAPPC1609X90N,
47.5K,R8,RESC1608X55N,
65ohm,R13 R14,RESC2012X64N,
100k,R11 R12,RESC1608X50N,
576,R20,RESC2012X50N,
47346-1001,J2,473461001,
150141RV73100,LED1,SMD3528_1,
1571294-3,S1 S2,15712943,
ABM3B-8.000MHZ-10-1-U-T,Y1,ABM3B,
AFE4400RHAR,IC4,QFN50P600X600X100-41N,
AP2112K-3.3TRG1,IC2,SOT95P282X130-5N,
BAT54S,D9 D10 D11 D12,SOT95P240X110-3N,
BAT760-7,D4,SOD2513X120N,
BSH205G2R,Q3,SOT95P230X110-3N,
CP2102N-A02-GQFN28,IC3,QFN50P500X500X80-29N,
CPDQ5V0-HF,D1 D2 D3,SODFL1006X40N,
ESP32-WROOM-32D_M113DH2800PH3Q,ESP32,ESP32WROOM32DM113DH2800PH3Q0,
LTST-C193KRKT-5A,LED2,LEDC1608X45N,
MCP73832T-2DFI_OT,IC5,SOT95P270X145-5N,
SS34,D5,DIOM8059X256N,
SS8050-G,Q1 Q2,SOT95P240X115-3N,
